City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Souillac,MU,2021-12-15 18:23:54,-20.5167,57.5167,76.35,88,40,4.61
1,Vaini,TO,2021-12-15 18:23:55,-21.2,-175.2,77.16,94,40,6.91
2,Barabai,ID,2021-12-15 18:23:56,-2.5833,115.3833,74.14,98,91,0.69
3,Bluff,NZ,2021-12-15 18:23:56,-46.6,168.3333,53.8,82,100,17.58
4,Lebu,CL,2021-12-15 18:23:57,-37.6167,-73.65,62.15,61,1,12.33
5,Harper,LR,2021-12-15 18:23:57,4.375,-7.7169,80.85,81,88,6.49
6,Igarka,RU,2021-12-15 18:23:58,67.4667,86.5833,-18.67,100,100,4.21
7,Punta Arenas,CL,2021-12-15 18:19:10,-53.15,-70.9167,59.02,67,0,20.71
8,Jijiang,CN,2021-12-15 18:23:59,29.2906,106.2542,55.36,91,100,1.7
9,Cao Bang,VN,2021-12-15 18:24:00,22.6667,106.25,56.75,98,30,0.18
10,Puerto Ayora,EC,2021-12-15 18:24:00,-0.7393,-90.3518,78.76,83,90,5.01
11,Sibolga,ID,2021-12-15 18:24:01,1.7427,98.7792,76.57,90,100,3.56
12,Ocos,GT,2021-12-15 18:24:02,14.5094,-92.1933,93.7,60,1,6.49
13,Nong Bua,TH,2021-12-15 18:24:03,15.8646,100.5858,73.89,69,55,1.92
14,Albany,US,2021-12-15 18:21:18,42.6001,-73.9662,46.81,51,100,1.01
15,Cape Town,ZA,2021-12-15 18:23:55,-33.9258,18.4232,61.21,76,75,3.0
16,Pacific Grove,US,2021-12-15 18:24:05,36.6177,-121.9166,53.71,75,1,1.01
17,Ushuaia,AR,2021-12-15 18:23:01,-54.8,-68.3,53.26,66,75,28.77
18,Kousseri,CM,2021-12-15 18:24:06,12.0769,15.0306,80.56,22,78,8.05
19,Qaanaaq,GL,2021-12-15 18:24:06,77.484,-69.3632,-3.46,69,0,4.25
20,Rikitea,PF,2021-12-15 18:24:07,-23.1203,-134.9692,76.75,76,83,9.55
21,Wamba,NG,2021-12-15 18:24:07,8.9333,8.6,80.49,22,36,1.39
22,Torbat-E Jam,IR,2021-12-15 18:24:08,35.244,60.6225,29.75,53,0,3.71
23,Barra,BR,2021-12-15 18:20:29,-11.0894,-43.1417,89.35,39,100,3.89
24,Busselton,AU,2021-12-15 18:24:08,-33.65,115.3333,54.09,84,43,10.0
25,Khatanga,RU,2021-12-15 18:24:09,71.9667,102.5,-7.94,92,100,10.2
26,Nantucket,US,2021-12-15 18:20:56,41.2835,-70.0995,47.03,62,1,8.05
27,Jamestown,US,2021-12-15 18:19:29,42.097,-79.2353,45.3,84,100,8.01
28,Longyearbyen,SJ,2021-12-15 18:22:05,78.2186,15.6401,28.24,69,40,13.8
29,Port Augusta,AU,2021-12-15 18:24:11,-32.5,137.7667,60.94,53,0,6.67
30,Ferrol,ES,2021-12-15 18:24:12,43.4832,-8.2369,52.68,86,1,4.34
31,Hermanus,ZA,2021-12-15 18:24:13,-34.4187,19.2345,60.91,66,75,16.22
32,Shelopugino,RU,2021-12-15 18:24:13,51.6514,117.5599,-23.94,99,24,2.59
33,Makueni,KE,2021-12-15 18:24:14,-1.8041,37.6203,62.76,98,96,2.33
34,Richards Bay,ZA,2021-12-15 18:24:15,-28.783,32.0377,78.08,79,40,13.09
35,Whakatane,NZ,2021-12-15 18:24:15,-37.9585,176.9854,67.51,92,69,1.99
36,College,US,2021-12-15 18:24:15,64.8569,-147.8028,-27.42,66,40,0.0
37,Kendari,ID,2021-12-15 18:24:16,-3.945,122.4989,76.78,94,100,3.42
38,Kahului,US,2021-12-15 18:24:16,20.8947,-156.47,76.84,85,20,8.05
39,Avarua,CK,2021-12-15 18:24:17,-21.2078,-159.775,80.65,83,20,9.22
40,Atuona,PF,2021-12-15 18:21:47,-9.8,-139.0333,77.85,77,34,16.17
41,Jieshou,CN,2021-12-15 18:24:18,33.2634,115.3611,47.84,55,98,5.91
42,Mataura,NZ,2021-12-15 18:24:19,-46.1927,168.8643,53.47,85,100,4.88
43,Dharchula,IN,2021-12-15 18:24:19,29.85,80.5333,43.7,26,0,9.28
44,Jiblah,YE,2021-12-15 18:24:20,13.9216,44.1467,57.31,53,2,3.24
45,Balkanabat,TM,2021-12-15 18:24:21,39.5108,54.3671,44.6,33,51,15.61
46,Russell,US,2021-12-15 18:24:21,32.3502,-85.1999,71.38,69,90,5.75
47,Yining,CN,2021-12-15 18:24:22,29.0361,114.5636,56.46,82,77,2.75
48,Soe,ID,2021-12-15 18:24:22,-9.8607,124.284,66.56,85,10,3.04
49,Sao Raimundo Nonato,BR,2021-12-15 18:24:23,-9.0153,-42.6994,91.78,37,78,7.38
50,Pisco,PE,2021-12-15 18:24:25,-13.7,-76.2167,71.02,78,30,10.36
51,Leningradskiy,RU,2021-12-15 18:24:25,69.3833,178.4167,-25.08,100,100,6.8
52,Barrow,US,2021-12-15 18:24:26,71.2906,-156.7887,-25.58,68,75,8.05
53,Buluang,PH,2021-12-15 18:24:27,13.3068,123.3425,75.61,92,100,6.33
54,Castro,BR,2021-12-15 18:23:27,-24.7911,-50.0119,75.51,79,100,3.31
55,Saint-Philippe,RE,2021-12-15 18:24:28,-21.3585,55.7679,76.59,80,30,12.53
56,Lorengau,PG,2021-12-15 18:24:28,-2.0226,147.2712,81.52,83,100,14.2
57,Ekibastuz,KZ,2021-12-15 18:24:30,51.6667,75.3667,20.1,81,93,16.87
58,Kaeo,NZ,2021-12-15 18:24:30,-35.1,173.7833,65.32,92,87,10.02
59,Eureka,US,2021-12-15 18:19:38,40.8021,-124.1637,47.35,80,100,10.0
60,Vestmannaeyjar,IS,2021-12-15 18:24:31,63.4427,-20.2734,43.79,81,75,29.93
61,Uyemskiy,RU,2021-12-15 18:24:32,64.4743,40.8524,28.45,93,75,4.47
62,Prince Rupert,CA,2021-12-15 18:24:33,54.3161,-130.3201,35.29,77,75,0.0
63,Provideniya,RU,2021-12-15 18:24:34,64.3833,-173.3,1.06,97,100,26.46
64,Patitirion,GR,2021-12-15 18:24:35,39.15,23.8667,51.28,69,100,16.55
65,Vardo,NO,2021-12-15 18:24:36,70.3705,31.1107,30.18,86,75,14.97
66,Birin,NP,2021-12-15 18:24:36,26.8865,88.0718,46.02,77,41,4.43
67,Buin,CL,2021-12-15 18:24:37,-33.7333,-70.75,87.06,19,5,9.64
68,At-Bashi,KG,2021-12-15 18:24:37,41.1702,75.8106,2.16,74,14,2.73
69,Sembakung,ID,2021-12-15 18:24:38,3.8167,117.25,74.48,96,100,1.95
70,Kapaa,US,2021-12-15 18:24:39,22.0752,-159.319,73.72,97,75,9.22
71,Cherskiy,RU,2021-12-15 18:24:39,68.75,161.3,-24.38,77,76,4.61
72,Barcelos,PT,2021-12-15 18:24:40,41.5388,-8.6151,59.85,63,4,3.53
73,Kashi,CN,2021-12-15 18:24:40,39.4547,75.9797,22.21,68,66,6.71
74,Clyde River,CA,2021-12-15 18:24:41,70.4692,-68.5914,-26.37,84,36,3.65
75,Nanortalik,GL,2021-12-15 18:24:41,60.1432,-45.2371,29.17,75,100,9.24
76,Kodinsk,RU,2021-12-15 18:24:42,58.6881,99.1844,-10.86,96,100,4.45
77,Lata,PT,2021-12-15 18:24:42,40.1629,-8.3327,51.08,58,11,3.11
78,Yellowknife,CA,2021-12-15 18:20:46,62.456,-114.3525,-7.08,84,90,5.75
79,Kenai,US,2021-12-15 18:23:15,60.5544,-151.2583,2.14,84,1,10.36
