City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,77.07,light rain,-23.1203,-134.9692,People ThankYou
3,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
6,Primero De Enero,CU,84.06,scattered clouds,21.9469,-78.4283,Motel Dos Palmas (Maria Machete)
19,Faanui,PF,81.03,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
20,Kieta,PG,80.35,light rain,-6.2167,155.6333,Uruna Bay Retreat
21,Telimele,GN,79.88,overcast clouds,10.9167,-13.3333,
26,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
28,Sao Joao Da Barra,BR,84.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
35,Tallahassee,US,77.68,few clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
36,Okitipupa,NG,80.67,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
46,San Patricio,US,84.29,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
49,Samarai,PG,79.12,overcast clouds,-10.6167,150.6667,Nuli Sapi
50,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
51,Conde,BR,87.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
57,Tete,MZ,86.09,light rain,-16.1564,33.5867,Zambeze Paraíso Misterioso
62,Hilo,US,77.61,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
65,Atuona,PF,77.68,light rain,-9.8,-139.0333,Villa Enata
66,Cochabamba,BO,76.75,broken clouds,-17.3895,-66.1568,Violetta's Apart Hotel
68,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
70,Manaure,CO,84.31,broken clouds,11.7751,-72.4445,Hotel Palaaima
74,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
75,Bubaque,GW,81.91,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
81,Yorosso,ML,81.12,overcast clouds,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
88,Simbahan,PH,82.4,overcast clouds,6.3032,120.5836,
90,Venado Tuerto,AR,88.47,clear sky,-33.7456,-61.9688,Hotel - Miro Park
93,San Policarpo,PH,80.46,overcast clouds,12.1791,125.5072,Agapita M. Nicart
95,Moerai,PF,78.53,overcast clouds,-22.4333,-151.3333,Le Manotel
96,Butaritari,KI,81.64,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
101,Arraial Do Cabo,BR,82.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
104,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
108,Kokopo,PG,78.58,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
109,Sao Jose Da Coroa Grande,BR,81.97,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
110,Bobo Dioulasso,BF,86.45,overcast clouds,11.1771,-4.2979,RAN Hotel Somketa
115,Noumea,NC,78.01,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
116,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
120,Mahebourg,MU,76.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
122,Hambantota,LK,75.54,scattered clouds,6.1241,81.1185,Bungalow 63
124,Filingue,NE,78.69,overcast clouds,14.3521,3.3168,
126,Takoradi,GH,81.25,broken clouds,4.8845,-1.7554,Raybow International Hotel
129,Carutapera,BR,81.32,overcast clouds,-1.195,-46.02,Lidera
130,Letlhakane,BW,84.61,clear sky,-21.4167,25.5833,Motswedi Hotel P650
131,Encruzilhada,BR,75.42,overcast clouds,-15.5314,-40.9094,Hotel e Restaurante Rio Pardo
137,Dovers,VC,81.99,overcast clouds,12.8833,-61.1833,Ocean Breeze
138,Castro,BR,75.06,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
145,Kavieng,PG,83.21,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
146,Phon,TH,75.97,scattered clouds,15.816,102.5998,Baan Kru Tum Chiang Khan
152,Abeokuta,NG,83.75,broken clouds,7.15,3.35,Continental Suites Lodge
153,Namatanai,PG,80.24,light rain,-3.6667,152.4333,Seagulls Inn Namatani
161,Puerto Lleras,CO,85.91,overcast clouds,3.0223,-73.4044,
169,Xuddur,SO,78.93,broken clouds,4.1213,43.8894,Banjanay Hotel
179,Mount Isa,AU,80.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
181,Fare,PF,80.83,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
184,Gaoua,BF,86.76,scattered clouds,10.2992,-3.2508,
190,Grand Gaube,MU,76.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
194,Tual,ID,82.85,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
215,Yokadouma,CM,77.27,overcast clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
220,Felipe Carrillo Puerto,MX,84.97,overcast clouds,19.5833,-88.05,Hotel La Ceiba
222,Waingapu,ID,79.56,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
230,Sorong,ID,78.49,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
235,Merauke,ID,77.27,scattered clouds,-8.4667,140.3333,
241,Auki,SB,76.26,overcast clouds,-8.7676,160.7034,Auki Motel
