City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,2021-12-15 18:44:12,-23.1203,-134.9692,77.07,74,100,8.72,light rain
1,Albany,US,2021-12-15 18:44:07,42.6001,-73.9662,46.62,50,100,1.99,overcast clouds
2,Riyadh,SA,2021-12-15 18:46:58,24.6877,46.7219,60.94,31,100,9.24,overcast clouds
3,Souillac,MU,2021-12-15 18:43:48,-20.5167,57.5167,76.35,88,40,4.61,scattered clouds
4,Hobart,AU,2021-12-15 18:43:07,-42.8794,147.3294,55.26,77,90,1.99,overcast clouds
5,Kapaa,US,2021-12-15 18:42:35,22.0752,-159.319,73.72,97,75,9.22,moderate rain
6,Primero De Enero,CU,2021-12-15 18:49:45,21.9469,-78.4283,84.06,72,30,15.26,scattered clouds
7,Airai,TL,2021-12-15 18:45:13,-8.9266,125.4092,60.37,78,28,1.52,scattered clouds
8,Ngunguru,NZ,2021-12-15 18:49:46,-35.6167,174.5,67.15,81,100,10.76,overcast clouds
9,Nanortalik,GL,2021-12-15 18:47:15,60.1432,-45.2371,28.17,73,100,9.17,overcast clouds
10,Thompson,CA,2021-12-15 18:44:51,55.7435,-97.8558,10.56,85,90,6.91,snow
11,Cape Town,ZA,2021-12-15 18:38:51,-33.9258,18.4232,61.21,71,75,24.16,light rain
12,Bud,US,2021-12-15 18:49:47,39.447,-86.1758,63.03,65,100,17.25,overcast clouds
13,Pereyaslovskaya,RU,2021-12-15 18:49:48,45.8412,39.0238,41.5,88,73,7.49,broken clouds
14,Kungurtug,RU,2021-12-15 18:49:49,50.5994,97.5228,-18.17,97,79,1.39,broken clouds
15,Tiksi,RU,2021-12-15 18:43:57,71.6872,128.8694,-17.37,99,100,0.96,overcast clouds
16,Hokitika,NZ,2021-12-15 18:49:50,-42.7167,170.9667,61.41,67,58,1.07,broken clouds
17,Ocampo,MX,2021-12-15 18:49:51,21.65,-101.5,70.95,25,0,6.26,clear sky
18,Tuatapere,NZ,2021-12-15 18:47:54,-46.1333,167.6833,53.82,85,100,3.15,overcast clouds
19,Faanui,PF,2021-12-15 18:46:09,-16.4833,-151.75,81.03,76,16,14.16,few clouds
20,Kieta,PG,2021-12-15 18:44:53,-6.2167,155.6333,80.35,86,100,9.51,light rain
21,Telimele,GN,2021-12-15 18:49:52,10.9167,-13.3333,79.88,40,100,3.02,overcast clouds
22,Martinsburg,US,2021-12-15 18:45:19,39.4562,-77.9639,57.67,65,1,8.05,clear sky
23,Dikson,RU,2021-12-15 18:42:38,73.5069,80.5464,-21.1,100,100,4.92,overcast clouds
24,Danielskuil,ZA,2021-12-15 18:46:52,-28.1887,23.5395,71.73,26,1,16.08,clear sky
25,Havoysund,NO,2021-12-15 18:49:53,70.9963,24.6622,31.08,90,100,7.0,light snow
26,The Valley,AI,2021-12-15 18:49:54,18.217,-63.0578,84.06,74,20,16.11,few clouds
27,San Quintin,MX,2021-12-15 18:43:26,30.4833,-115.95,54.45,45,0,15.46,clear sky
28,Sao Joao Da Barra,BR,2021-12-15 18:49:54,-21.6403,-41.0511,84.29,87,95,19.93,overcast clouds
29,Bethel,US,2021-12-15 18:40:42,41.3712,-73.414,51.04,58,1,4.0,clear sky
30,Srednekolymsk,RU,2021-12-15 18:42:57,67.45,153.6833,-26.1,99,93,4.81,overcast clouds
31,New Norfolk,AU,2021-12-15 18:44:40,-42.7826,147.0587,53.65,65,15,3.13,few clouds
32,Chuy,UY,2021-12-15 18:45:11,-33.6971,-53.4616,72.37,71,91,8.1,overcast clouds
33,Iqaluit,CA,2021-12-15 18:42:20,63.7506,-68.5145,-7.31,76,75,11.01,broken clouds
34,Mount Gambier,AU,2021-12-15 18:44:42,-37.8333,140.7667,46.31,87,90,3.44,overcast clouds
35,Tallahassee,US,2021-12-15 18:46:20,30.4383,-84.2807,77.68,63,20,15.66,few clouds
36,Okitipupa,NG,2021-12-15 18:49:57,6.5047,4.7839,80.67,80,88,3.47,overcast clouds
37,Tuktoyaktuk,CA,2021-12-15 18:43:20,69.4541,-133.0374,-20.2,76,20,8.05,few clouds
38,Severo-Kurilsk,RU,2021-12-15 18:42:43,50.6789,156.125,26.31,65,90,16.11,overcast clouds
39,Pasighat,IN,2021-12-15 18:49:58,28.0667,95.3333,58.66,54,81,3.18,broken clouds
40,Metkovic,HR,2021-12-15 18:49:58,43.0542,17.6483,50.47,77,100,7.38,overcast clouds
41,Upernavik,GL,2021-12-15 18:47:12,72.7868,-56.1549,6.53,94,100,3.67,light snow
42,Barrow,US,2021-12-15 18:40:57,71.2906,-156.7887,-25.58,75,40,6.91,scattered clouds
43,Hazorasp,UZ,2021-12-15 18:49:59,41.3194,61.0742,33.64,76,0,9.17,clear sky
44,Narsaq,GL,2021-12-15 18:45:16,60.9167,-46.05,26.82,76,100,7.56,overcast clouds
45,Hamilton,US,2021-12-15 18:40:56,39.1834,-84.5333,63.99,36,90,1.01,overcast clouds
46,San Patricio,US,2021-12-15 18:47:58,28.017,-97.5169,84.29,63,76,21.32,broken clouds
47,Vacaria,BR,2021-12-15 18:50:01,-28.5122,-50.9339,73.45,85,57,5.41,broken clouds
48,Kaitangata,NZ,2021-12-15 18:45:43,-46.2817,169.8464,56.93,80,100,6.91,overcast clouds
49,Samarai,PG,2021-12-15 18:47:19,-10.6167,150.6667,79.12,81,100,1.61,overcast clouds
50,Vaini,TO,2021-12-15 18:42:48,-21.2,-175.2,77.16,94,40,6.91,scattered clouds
51,Conde,BR,2021-12-15 18:50:03,-7.2597,-34.9075,87.26,62,40,12.66,scattered clouds
52,Namestovo,SK,2021-12-15 18:50:03,49.4079,19.4803,39.18,99,100,1.45,overcast clouds
53,Nikolskoye,RU,2021-12-15 18:42:58,59.7035,30.7861,36.88,99,100,11.25,light snow
54,Havre-Saint-Pierre,CA,2021-12-15 18:46:11,50.2334,-63.5986,23.59,42,1,17.27,clear sky
55,Ostrovnoy,RU,2021-12-15 18:43:39,68.0531,39.5131,30.34,92,100,21.34,overcast clouds
56,Mataura,NZ,2021-12-15 18:43:21,-46.1927,168.8643,53.47,87,100,4.85,overcast clouds
57,Tete,MZ,2021-12-15 18:50:05,-16.1564,33.5867,86.09,48,40,5.75,light rain
58,Berlevag,NO,2021-12-15 18:50:05,70.8578,29.0864,29.35,81,99,10.58,overcast clouds
59,Adrar,MR,2021-12-15 18:44:33,20.5022,-10.0711,72.77,26,0,4.27,clear sky
60,Codrington,AU,2021-12-15 18:46:31,-38.2667,141.9667,57.72,77,95,6.51,overcast clouds
61,Severomuysk,RU,2021-12-15 18:50:06,56.1481,113.4267,-29.47,97,97,6.49,overcast clouds
62,Hilo,US,2021-12-15 18:39:19,19.7297,-155.09,77.61,56,75,10.36,light rain
63,Hermanus,ZA,2021-12-15 18:42:39,-34.4187,19.2345,60.91,66,100,15.95,light rain
64,Chokurdakh,RU,2021-12-15 18:44:31,70.6333,147.9167,-24.0,98,100,6.02,overcast clouds
65,Atuona,PF,2021-12-15 18:43:13,-9.8,-139.0333,77.68,77,30,16.71,light rain
66,Cochabamba,BO,2021-12-15 18:48:53,-17.3895,-66.1568,76.75,31,75,5.75,broken clouds
67,Fortuna,US,2021-12-15 18:46:54,40.5982,-124.1573,47.08,91,20,3.0,moderate rain
68,Puerto Ayora,EC,2021-12-15 18:43:40,-0.7393,-90.3518,78.76,82,100,7.0,overcast clouds
69,Yellowknife,CA,2021-12-15 18:40:01,62.456,-114.3525,-7.08,84,90,5.75,light snow
70,Manaure,CO,2021-12-15 18:50:07,11.7751,-72.4445,84.31,60,81,15.08,broken clouds
71,Ushuaia,AR,2021-12-15 18:40:32,-54.8,-68.3,53.26,66,75,28.77,broken clouds
72,Tabuk,PH,2021-12-15 18:50:08,17.4189,121.4443,67.33,93,100,0.2,overcast clouds
